"source","qmd","url","title","subtitle","date","excerpt","image","publication_state","permalink","category","tags","archived_rmd","hidden_chunks"
"archive/generated-markdown/2010-09-29-battle-lines-drawn.md","2010/09/29/battle-lines-drawn/index.qmd","/2010/09/29/battle-lines-drawn/","Battle lines drawn","","","","","publish;TRUE","/2010/09/29/battle-lines-drawn/","science","Politics|Funding|Science",FALSE,0
"archive/generated-markdown/2010-12-03-why-i-love-open-source.md","2010/12/03/why-i-love-open-source/index.qmd","/2010/12/03/why-i-love-open-source/","Why I love open source!","","","Today I had a great reminder of why I love open source software and why I spend a bit of my time contributing [R](http://www.r-project.org 'R Project Website') code to several packages.","","publish;TRUE","/2010/12/03/why-i-love-open-source/","R","R|vegan",FALSE,0
"archive/generated-markdown/2011-01-21-embedding-a-time-series-with-time-delay-in-r.md","2011/01/21/embedding-a-time-series-with-time-delay-in-r/index.qmd","/2011/01/21/embedding-a-time-series-with-time-delay-in-r/","Embedding a time series with time delay in R","","","I've recently been looking at [Martin Trauth](http://www.geo.uni-potsdam.de/member-details/show/108.html 'Martin Trauth's web page at The University of Potsdam Institute of Earth and Environmental Science')&apos;s book [MATLAB® Recipes for Earth Sciences](http://www.springer.com/earth+sciences+and+geography/computer+&+mathematical+applications/book/978-3-642-12761-8 'Matlab book page at Springer') to try to understand what some of my palaeoceanography colleagues are doing with their data analyses (lots of frequency domain time series techniques and a preponderance of filters). Whilst browsing, the [recurrence plot](http://en.wikipedia.org/wiki/Recurrence_plot 'Recurrence plots entry in Wikipedia') section caught my eye as something to look into further, both for palaeo-based work but also for work on ecological thresholds and tipping points.","","publish;TRUE","/2011/01/21/embedding-a-time-series-with-time-delay-in-r/","R","Embed|Time series",FALSE,0
"archive/generated-markdown/2011-04-01-vegan_1-17-9_released.md","2011/04/01/vegan_1-17-9_released/index.qmd","/2011/04/01/vegan_1-17-9_released/","New version of vegan released to CRAN (1.17-9)","","","Yesterday Jari packaged up the latest release in the current stable branch of the [vegan](http://vegan.r-forge.r-project.org/) package. Version 1.17-9 of vegan is now on [CRAN](http://cran.r-project.org/web/packages/vegan/index.html) as a source tarball with binaries for MS Windows and MacOS X to follow soon.","","publish;TRUE","/2011/04/01/vegan_1-17-9_released/","R","R|vegan",FALSE,0
"archive/generated-markdown/2011-06-01-minor-update-to-vegan-1-17-10.md","2011/06/01/minor-update-to-vegan-1-17-10/index.qmd","/2011/06/01/minor-update-to-vegan-1-17-10/","Minor update to Vegan (1.17-10)","","","I overlooked blogging about this at the time, but Jari released a minor update to our Vegan package to fix a few issues following release of R 2.13-0. As far as the user is concerned, this mainly affects `capscale()`. `metaMDSrotate()`, a helper function for rotating nMDS solutions from function `metaMDS()` can now handle missing values via argument `na.rm = TRUE`. The relevant section of the `NEWS` file is reproduced below.","","publish;TRUE","/2011/06/01/minor-update-to-vegan-1-17-10/","R","R|vegan",FALSE,0
"archive/generated-markdown/2011-06-01-new-version-of-analogue-0-7-0.md","2011/06/01/new-version-of-analogue-0-7-0/index.qmd","/2011/06/01/new-version-of-analogue-0-7-0/","New version of analogue (0.7-0)","","","Last week I pushed an update of my [analogue](http://analogue.r-forge.r-project.org/ 'analogue website') package to [CRAN](http://cran.at.r-project.org/web/packages/analogue/index.html 'analogue page on CRAN'). The last release (0.6-23) was on CRAN sometime in Mar 2010 so an update was well overdue.","","publish;TRUE","/2011/06/01/new-version-of-analogue-0-7-0/","R","analogue|R",FALSE,0
"archive/generated-markdown/2011-06-08-stratigraphic-diagrams-using-analogue.md","2011/06/08/stratigraphic-diagrams-using-analogue/index.qmd","/2011/06/08/stratigraphic-diagrams-using-analogue/","Stratigraphic diagrams using analogue","","","One of the routine tasks palaeoecologists do is plot data on species composition or geochemical proxies say along a sediment core or stratigraphic sequence. These diagrams are the canonical way of displaying stratigraphic data in this field. An example of a stratigraphic diagram is shown below.","","publish;TRUE","/2011/06/08/stratigraphic-diagrams-using-analogue/","R","analogue|R",FALSE,0
"archive/generated-markdown/2011-06-10-what-is-ordisurf-doing.md","2011/06/10/what-is-ordisurf-doing/index.qmd","/2011/06/10/what-is-ordisurf-doing/","What is ordisurf() doing...?","","","I'm writing this post for two reasons: i) someone searched on Google for the term 'what is ordisurf doing' and ended up on my blog, and ii) because I have been on the receiving end of reviewers comments on a paper I co-authored where they didn't know what `ordisurf()` was doing either! It is hardly surprising that people who don't know R or haven't studied the code or the examples in the **vegan** documentation do not realise what `ordisurf()` is trying to do as there isn't a paper in the scientific literature explaining the method. Whilst a solution to that part of the problem will have to wait until Jari, Dave Roberts and I get our acts together and write one, this post might be useful in the interim.","","publish;TRUE","/2011/06/10/what-is-ordisurf-doing/","R","R|vegan|ordination",FALSE,0
"archive/generated-markdown/2011-06-11-global-warming-since-1995-now-significant.md","2011/06/11/global-warming-since-1995-now-significant/index.qmd","/2011/06/11/global-warming-since-1995-now-significant/","Global warming since 1995 'now significant'","","","","","publish;TRUE","/2011/06/11/global-warming-since-1995-now-significant/","","Climate Change|R|Science|Time series",FALSE,0
"archive/generated-markdown/2011-06-12-additive-modelling-and-the-hadcrut3v-global-mean-temperature-series.md","2011/06/12/additive-modelling-and-the-hadcrut3v-global-mean-temperature-series/index.qmd","/2011/06/12/additive-modelling-and-the-hadcrut3v-global-mean-temperature-series/","Additive modelling and the HadCRUT3v global mean temperature series","","","","","publish;TRUE","/2011/06/12/additive-modelling-and-the-hadcrut3v-global-mean-temperature-series/","R","Climate Change|Science|Time series",FALSE,0
